position_id,factor_id
1,20
1,37
1,43
1,36
1,44
1,13
1,14
1,15
1,10
1,35
1,38
1,24
1,39
1,45
1,26
1,46
1,27
1,47
2,43
2,35
2,36
2,37
2,38
2,47
2,39
2,40
2,41
2,15
2,27
2,46
2,42
3,48
3,29
3,30
3,31
3,32
3,23
3,22
3,49
3,19
3,33
3,47
3,26
3,27
3,34
4,50
4,18
4,19
4,4
4,20
4,21
4,22
4,51
4,23
4,24
4,26
4,27
4,28
5,10
5,44
5,12
5,13
5,14
5,15
5,16
5,17
5,4
5,25
5,9
5,26
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
